GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022-03-12,22101005,Final,1610612748,1610612750,2021,1610612748,104,0.398,0.76,0.333,23,53,1610612750,113,0.422,0.875,0.357,21,46,0
2022-03-12,22101006,Final,1610612741,1610612739,2021,1610612741,101,0.443,0.933,0.429,20,46,1610612739,91,0.419,0.824,0.208,19,40,1
2022-03-12,22101007,Final,1610612759,1610612754,2021,1610612759,108,0.412,0.813,0.324,28,52,1610612754,119,0.489,1.0,0.389,23,47,0
2022-03-12,22101008,Final,1610612744,1610612749,2021,1610612744,122,0.484,0.933,0.4,33,55,1610612749,109,0.413,0.696,0.386,27,39,1
2022-03-12,22101009,Final,1610612743,1610612761,2021,1610612743,115,0.551,0.75,0.407,32,39,1610612761,127,0.471,0.76,0.387,28,50,0
2022-03-12,22101010,Final,1610612762,1610612758,2021,1610612762,134,0.558,0.71,0.39,21,44,1610612758,125,0.5,0.857,0.394,27,33,1
2022-03-12,22101011,Final,1610612757,1610612764,2021,1610612757,127,0.516,0.909,0.367,21,43,1610612764,118,0.47,0.963,0.412,26,35,1
2022-03-11,22100995,Final,1610612753,1610612750,2021,1610612753,118,0.465,0.88,0.4,31,49,1610612750,110,0.456,1.0,0.333,24,37,1
2022-03-11,22100996,Final,1610612737,1610612746,2021,1610612737,112,0.478,0.895,0.29,28,47,1610612746,106,0.488,0.824,0.375,22,36,1
2022-03-11,22100997,Final,1610612738,1610612765,2021,1610612738,114,0.467,0.8,0.188,23,47,1610612765,103,0.422,0.958,0.294,21,42,1
2022-03-11,22100998,Final,1610612748,1610612739,2021,1610612748,117,0.477,0.889,0.314,28,42,1610612739,105,0.443,0.931,0.32,25,40,1
2022-03-11,22100999,Final,1610612745,1610612742,2021,1610612745,100,0.477,0.632,0.2,29,39,1610612742,113,0.455,0.786,0.306,20,47,0
2022-03-11,22101000,Final,1610612763,1610612752,2021,1610612763,118,0.447,0.586,0.346,23,53,1610612752,114,0.422,0.757,0.4,23,54,1
2022-03-11,22101001,Final,1610612740,1610612766,2021,1610612740,120,0.5,0.76,0.385,31,40,1610612766,142,0.598,0.8,0.468,41,38,0
