Team,Match Up,Game Date,W/L,MIN,PTSOFF TO,2ndPTS,FBPs,PITP,Opp PTSOFF TO,Opp2nd PTS,OppFBPs,OppPITP,TEAM_ID,GAME_ID
NJN,NJN @ IND,04/16/2003,L,48,11,15,11,36,22,14,23,44,1610612751,0020201180
MIN,MIN @ MEM,04/16/2003,W,48,7,15,32,46,10,8,19,44,1610612750,0020201182
UTA,UTA @ SAC,04/16/2003,L,48,14,7,4,30,14,15,19,42,1610612762,0020201186
ATL,ATL @ NOH,04/16/2003,L,48,9,10,6,24,31,13,24,42,1610612737,0020201183
LAL,LAL @ GSW,04/16/2003,W,48,19,20,15,46,8,18,11,42,1610612747,0020201189
GSW,GSW vs. LAL,04/16/2003,L,48,8,18,11,42,19,20,15,46,1610612744,0020201189
SAS,SAS vs. DAL,04/16/2003,L,48,9,12,15,30,20,13,23,40,1610612759,0020201184
CLE,CLE vs. TOR,04/16/2003,W,48,15,18,22,62,13,10,23,40,1610612739,0020201179
MEM,MEM vs. MIN,04/16/2003,L,48,10,8,19,44,7,15,32,46,1610612763,0020201182
WAS,WAS @ PHI,04/16/2003,L,48,6,15,10,22,21,12,31,48,1610612764,0020201178
PHI,PHI vs. WAS,04/16/2003,W,48,21,12,31,48,6,15,10,22,1610612755,0020201178
HOU,HOU @ DEN,04/16/2003,W,48,6,16,18,30,16,24,10,38,1610612745,0020201185
DET,DET @ BOS,04/16/2003,L,48,14,11,2,24,9,7,10,38,1610612765,0020201177
IND,IND vs. NJN,04/16/2003,W,48,22,14,23,44,11,15,11,36,1610612754,0020201180
NOH,NOH vs. ATL,04/16/2003,W,48,31,13,24,42,9,10,6,24,1610612740,0020201183
POR,POR @ LAC,04/16/2003,L,48,13,9,6,52,19,14,14,62,1610612757,0020201188
ORL,ORL @ MIL,04/16/2003,L,48,18,7,2,32,16,12,19,32,1610612753,0020201181
TOR,TOR @ CLE,04/16/2003,L,48,13,10,23,40,15,18,22,62,1610612761,0020201179
SEA,SEA vs. PHX,04/16/2003,W,48,20,17,16,28,15,9,4,32,1610612760,0020201187
LAC,LAC vs. POR,04/16/2003,W,48,19,14,14,62,13,9,6,52,1610612746,0020201188
MIL,MIL vs. ORL,04/16/2003,W,48,16,12,19,32,18,7,2,32,1610612749,0020201181
DEN,DEN vs. HOU,04/16/2003,L,48,16,24,10,38,6,16,18,30,1610612743,0020201185
BOS,BOS vs. DET,04/16/2003,W,48,9,7,10,38,14,11,2,24,1610612738,0020201177
SAC,SAC vs. UTA,04/16/2003,W,48,14,15,19,42,14,7,4,30,1610612758,0020201186
PHX,PHX @ SEA,04/16/2003,L,48,15,9,4,32,20,17,16,28,1610612756,0020201187
DAL,DAL @ SAS,04/16/2003,W,48,20,13,23,40,9,12,15,30,1610612742,0020201184
DEN,DEN @ LAL,04/15/2003,L,48,29,13,15,42,26,21,17,42,1610612743,0020201176
MEM,MEM @ HOU,04/15/2003,L,48,16,16,17,30,21,13,16,42,1610612763,0020201174
LAL,LAL vs. DEN,04/15/2003,W,48,26,21,17,42,29,13,15,42,1610612747,0020201176
HOU,HOU vs. MEM,04/15/2003,W,48,21,13,16,42,16,16,17,30,1610612745,0020201174
POR,POR vs. PHX,04/15/2003,W,48,30,17,28,70,12,3,12,40,1610612757,0020201175
IND,IND @ NYK,04/15/2003,W,48,16,21,9,44,19,13,7,38,1610612754,0020201172
TOR,TOR vs. MIA,04/15/2003,L,48,13,17,16,34,12,17,22,38,1610612761,0020201171
CHI,CHI vs. PHI,04/15/2003,W,48,19,6,18,50,29,21,12,38,1610612741,0020201173
MIA,MIA @ TOR,04/15/2003,W,48,12,17,22,38,13,17,16,34,1610612748,0020201171
NYK,NYK vs. IND,04/15/2003,L,48,19,13,7,38,16,21,9,44,1610612752,0020201172
PHX,PHX @ POR,04/15/2003,L,48,12,3,12,40,30,17,28,70,1610612756,0020201175
PHI,PHI @ CHI,04/15/2003,L,48,29,21,12,38,19,6,18,50,1610612755,0020201173
